2014/6/22,7.5,0,8,1
2014/6/23,0,1,8,1
2014/6/24,0.0,0,8,1
2014/6/25,0,1,8,1
2014/6/26,0.0,0,8,1
2014/6/27,0.0,0,8,1
2014/6/28,5.5,0,8,1
2014/6/29,0.0,0,8,1
2014/6/30,0.0,0,8,1
2015/6/1,0,1,8,1
2015/6/2,1.0,0,8,1
2015/6/3,49.0,0,8,1
2015/6/4,0,1,8,1
2015/6/5,15.0,0,8,1
2015/6/6,1.0,0,8,1
2015/6/7,0,1,8,1
2015/6/8,3.5,0,8,1
2015/6/9,22.5,0,8,1
2015/6/10,0,1,8,1
2015/6/11,6.5,0,8,1
2015/6/12,2.5,0,8,1
2015/6/13,0.0,0,8,1
2015/6/14,0.0,0,8,1
2015/6/15,0,1,8,1
2015/6/16,0.5,0,8,1
2015/6/17,0.0,0,8,1
2015/6/18,6.0,0,8,1
2015/6/19,9.0,0,8,1
2015/6/20,0.5,0,8,1
2015/6/21,0.5,0,8,1
2015/6/22,0.0,0,8,1
2015/6/23,0.0,0,8,1
2015/6/24,0,1,8,1
2015/6/25,0,1,8,1
2015/6/26,16.5,0,8,1
2015/6/27,0.0,0,8,1
2015/6/28,0.0,0,8,1
2015/6/29,0.0,0,8,1
2015/6/30,17.0,0,8,1
2016/6/1,0,1,8,1
2016/6/2,0,1,8,1
2016/6/3,0,1,8,1
2016/6/4,0.0,0,8,1
2016/6/5,18.5,0,8,1
2016/6/6,0,1,8,1
2016/6/7,11.5,0,8,1
2016/6/8,0,1,8,1
2016/6/9,0.0,0,8,1
2016/6/10,0.0,0,8,1
2016/6/11,0.0,0,8,1
2016/6/12,18.0,0,8,1
2016/6/13,4.0,0,8,1
2016/6/14,0.0,0,8,1
2016/6/15,0.0,0,8,1
2016/6/16,35.5,0,8,1
2016/6/17,0.0,0,8,1
2016/6/18,0,1,8,1
2016/6/19,19.5,0,8,1
2016/6/20,0.0,0,8,1
2016/6/21,33.0,0,8,1
2016/6/22,19.0,0,8,1
2016/6/23,50.5,0,8,1
2016/6/24,21.5,0,8,1
2016/6/25,36.0,0,8,1
2016/6/26,0,1,8,1
2016/6/27,22.0,0,8,1
2016/6/28,5.0,0,8,1
2016/6/29,15.0,0,8,1
2016/6/30,0.0,0,8,1
2017/6/1,11.0,0,8,1
2017/6/2,0.5,0,8,1
2017/6/3,0.0,0,8,1
2017/6/4,0,1,8,1
2017/6/5,0,1,8,1
2017/6/6,0,1,8,1
2017/6/7,39.5,0,8,1
2017/6/8,0.0,0,8,1
2017/6/9,0,1,8,1
2017/6/10,0,1,8,1
2017/6/11,0.0,0,8,1
2017/6/12,0,1,8,1
2017/6/13,0,1,8,1
2017/6/14,0,1,8,1
2017/6/15,0,1,8,1
2017/6/16,0,1,8,1
2017/6/17,0,1,8,1
2017/6/18,0,1,8,1
2017/6/19,0,1,8,1
2017/6/20,0.5,0,8,1
2017/6/21,59.5,0,8,1
2017/6/22,0,1,8,1
2017/6/23,0,1,8,1
2017/6/24,7.0,0,8,1
2017/6/25,14.0,0,8,1
2017/6/26,0.0,0,8,1
2017/6/27,0.0,0,8,1
2017/6/28,4.5,0,8,1
2017/6/29,0.0,0,8,1
2017/6/30,22.0,0,8,1
2018/6/1,0,1,8,1
2018/6/2,0,1,8,1
2018/6/3,0,1,8,1
2018/6/4,0,1,8,1
2018/6/5,9.0,0,8,1
2018/6/6,32.5,0,8,1
2018/6/7,2.0,0,8,1
2018/6/8,18.5,0,8,1
2018/6/9,0.0,0,8,1
2018/6/10,3.0,0,8,1
2018/6/11,4.0,0,8,1
2018/6/12,0.5,0,8,1
2018/6/13,0,1,8,1
2018/6/14,0,1,8,1
2018/6/15,4.5,0,8,1
2018/6/16,0,1,8,1
2018/6/17,0,1,8,1
2018/6/18,0.0,0,8,1
2018/6/19,3.5,0,8,1
2018/6/20,47.0,0,8,1
2018/6/21,0.0,0,8,1
2018/6/22,0,1,8,1
2018/6/23,17.0,0,8,1
2018/6/24,1.0,0,8,1
2018/6/25,0,1,8,1
2018/6/26,0.5,0,8,1
2018/6/27,0.5,0,8,1
2018/6/28,0.0,0,8,1
2018/6/29,59.5,0,8,1
2018/6/30,12.5,0,8,1
2019/6/1,0,1,8,1
2019/6/2,0.0,0,8,1
2019/6/3,0.0,0,8,1
2019/6/4,0,1,8,1
2019/6/5,0.0,0,8,1
2019/6/6,0,1,8,1
2019/6/7,24.0,0,8,1
2019/6/8,0.0,0,8,1
2019/6/9,0.0,0,8,1
2019/6/10,0.0,0,8,1
2019/6/11,0.0,0,8,1
2019/6/12,0,1,8,1
2019/6/13,0,1,8,1
